region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,MinCapTag_10,MinCapTag_11,MinCapTag_12,MinCapTag_13,MinCapTag_14,MinCapTag_15,MinCapTag_16,MinCapTag_17,MinCapTag_18,MinCapTag_19,MinCapTag_20,MinCapTag_21,CapRes_1,CapRes_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,ids,MISO_CleanPower,NY_CleanPower,PJM_CleanPower,SERC_CleanPower,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16
TRE,TRE_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1208.3,0.0,38.0,1208.286,0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13945,0.0,0,0,5.28,0.0,0.0,0.0,119.0,3.5,13.48,1.815,3.413,west_south_central_naturalgas,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE,TRE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,845.3,0.0,325.0,845.325,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21000,0.0,0,0,4.73,0.0,0.0,0.0,38.0,0.0,9.2,1.347,0.656,west_south_central_naturalgas,0.18,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE,TRE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,8291.5,0.0,34.0,8291.512,0,243.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33439,0.0,0,0,1.06,0.0,0.0,0.0,87.0,13.7,13.49,3.344,3.494,west_south_central_naturalgas,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.63,1.26,0.0,0.0,0.0,0.0,0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE,TRE_nuclear_1,Nuclear,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,5120.0,0.0,4.0,5120.0,0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,193275,0.0,0,0,0.0,0.0,0.0,0.0,248.0,0.0,10.45,0.0,0.0,west_south_central_uranium,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.041666667,0.083333333,0.0,0.0,0.0,0.0,0,0.0,0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRE,TRE_onshore_wind_turbine_1,Onshore Wind Turbine,1,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,12811.8,0.0,61.0,12811.83,0,210.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43000,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645497723132969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRE,TRE_petroleum_liquids_1,Petroleum Liquids,1,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,159.6,0.0,203.0,159.558,0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21000,0.0,0,0,5.04,0.0,0.0,0.0,38.0,0.0,9.8,0.0,1.354,west_south_central_distillate,0.18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE,TRE_small_hydroelectric_1,Small Hydroelectric,1,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,11.2,0.0,16.0,56.096,-1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47048,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09429783697632056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRE,TRE_solar_photovoltaic_1,Solar Photovoltaic,1,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,15313.3,0.0,101.0,15313.317,0,151.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22623,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217775808287796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRE_WEST,TRE_WEST_batteries_1,Batteries,1,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,1420.7,0.0,33.0,1420.716,-1,43.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6235,0.0,0,0,0.15,0.15,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,0.92,0.92,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.1,0.0,3.0,393.099,0,131.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16492,0.0,0,0,4.55,0.0,0.0,0.0,92.0,2.0,10.59,3.495,3.942,None,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6122.0,0.0,10.0,6122.0,0,612.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12110,0.0,0,0,3.56,0.0,0.0,0.0,92.0,2.0,7.67,0.0,0.542,None,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,0.0,11.0,872.003,0,79.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9701,0.0,0,0,5.28,0.0,0.0,0.0,119.0,3.5,14.89,1.722,0.899,None,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,2.0,336.0,0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9701,0.0,0,0,5.28,0.0,0.0,0.0,119.0,3.5,10.8,0.0,0.0,None,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,1,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,21.0,11.298,0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21000,0.0,0,0,4.79,0.0,0.0,0.0,38.0,0.0,9.32,0.0,0.542,None,0.18,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0.0,0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,2.0,624.0,0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31200,0.0,0,0,1.06,0.0,0.0,0.0,87.0,13.7,11.98,0.0,0.0,None,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.63,1.26,0.0,0.0,0.0,0.0,0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
